REGION,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","AGRCRP001","LNDCRP",2020,205.81674208145
"CLEWSity","AGRCRP001","LNDCRP",2021,201.513578649543
"CLEWSity","AGRCRP001","LNDCRP",2022,194.040358433959
"CLEWSity","AGRCRP001","LNDCRP",2023,196.96667913532
"CLEWSity","AGRCRP001","LNDCRP",2024,188.775467641058
"CLEWSity","AGRCRP001","LNDCRP",2025,191.063621705882
"CLEWSity","AGRCRP001","LNDCRP",2026,191.466074720589
"CLEWSity","AGRCRP001","LNDCRP",2027,191.940386558823
"CLEWSity","AGRCRP001","LNDCRP",2028,192.343304279412
"CLEWSity","AGRCRP001","LNDCRP",2029,192.892816117647
"CLEWSity","AGRCRP001","LNDCRP",2030,192.170905632353
"CLEWSity","AGRCRP001","LNDCRP",2031,192.338361897059
"CLEWSity","AGRCRP001","LNDCRP",2032,193.167476024148
"CLEWSity","AGRCRP001","LNDCRP",2033,193.409800832972
"CLEWSity","AGRCRP001","LNDCRP",2034,193.577257097677
"CLEWSity","AGRCRP001","LNDCRP",2035,193.672523082971
"CLEWSity","AGRCRP001","LNDCRP",2036,197.755064259442
"CLEWSity","AGRCRP001","LNDCRP",2037,200.013878457527
"CLEWSity","AGRCRP001","LNDCRP",2038,202.971697383997
"CLEWSity","AGRCRP001","LNDCRP",2039,222.771399801584
"CLEWSity","AGRCRP001","LNDCRP",2040,222.473677179138
"CLEWSity","AGRCRP001","LNDCRP",2041,226.378472149726
"CLEWSity","AGRCRP001","LNDCRP",2042,230.136208296784
"CLEWSity","AGRCRP001","LNDCRP",2043,234.116059017373
"CLEWSity","AGRCRP001","LNDCRP",2044,237.873795164432
"CLEWSity","AGRCRP001","LNDCRP",2045,236.657111346644
"CLEWSity","AGRCRP001","LNDCRP",2046,257.324590029412
"CLEWSity","AGRCRP001","LNDCRP",2047,262.966010749999
"CLEWSity","AGRCRP001","LNDCRP",2048,268.607575720589
"CLEWSity","AGRCRP001","LNDCRP",2049,274.177137617647
"CLEWSity","AGRCRP001","LNDCRP",2050,279.818558338235
"CLEWSity","AGRCRP001","LNDCRP",2051,286.704583602941
"CLEWSity","AGRCRP001","LNDCRP",2052,293.665664617647
"CLEWSity","AGRCRP001","LNDCRP",2053,300.773948705883
"CLEWSity","AGRCRP001","LNDCRP",2054,307.685546387256
"CLEWSity","AGRCRP001","LNDCRP",2055,383.061396494505
"CLEWSity","AGRPST001","CTL",2020,4762.8
"CLEWSity","AGRPST001","CTL",2021,4858.056
"CLEWSity","AGRPST001","CTL",2022,4953.312
"CLEWSity","AGRPST001","CTL",2023,5048.568
"CLEWSity","AGRPST001","CTL",2024,5143.824
"CLEWSity","AGRPST001","CTL",2025,5270.832
"CLEWSity","AGRPST001","CTL",2026,5366.088
"CLEWSity","AGRPST001","CTL",2027,5461.344
"CLEWSity","AGRPST001","CTL",2028,5588.352
"CLEWSity","AGRPST001","CTL",2029,5683.608
"CLEWSity","AGRPST001","CTL",2030,5810.616
"CLEWSity","AGRPST001","CTL",2031,5937.624
"CLEWSity","AGRPST001","CTL",2032,6032.88
"CLEWSity","AGRPST001","CTL",2033,6159.888
"CLEWSity","AGRPST001","CTL",2034,6286.896
"CLEWSity","AGRPST001","CTL",2035,6413.904
"CLEWSity","AGRPST001","CTL",2036,6540.912
"CLEWSity","AGRPST001","CTL",2037,6667.92
"CLEWSity","AGRPST001","CTL",2038,6794.928
"CLEWSity","AGRPST001","CTL",2039,6953.688
"CLEWSity","AGRPST001","CTL",2040,7080.696
"CLEWSity","AGRPST001","CTL",2041,7207.704
"CLEWSity","AGRPST001","CTL",2042,7366.464
"CLEWSity","AGRPST001","CTL",2043,7525.224
"CLEWSity","AGRPST001","CTL",2044,7652.232
"CLEWSity","AGRPST001","CTL",2045,7810.992
"CLEWSity","AGRPST001","CTL",2046,7969.752
"CLEWSity","AGRPST001","CTL",2047,8128.512
"CLEWSity","AGRPST001","CTL",2048,8287.272
"CLEWSity","AGRPST001","CTL",2049,8446.032
"CLEWSity","AGRPST001","CTL",2050,8636.544
"CLEWSity","AGRPST001","CTL",2051,8795.304
"CLEWSity","AGRPST001","CTL",2052,8985.816
"CLEWSity","AGRPST001","CTL",2053,9144.576
"CLEWSity","AGRPST001","CTL",2054,9335.088
"CLEWSity","AGRPST001","CTL",2055,9525.6
"CLEWSity","AGRPST001","LND001",2020,3586.44578313253
"CLEWSity","AGRPST001","LND001",2021,3658.17469879518
"CLEWSity","AGRPST001","LND001",2022,3729.90361445783
"CLEWSity","AGRPST001","LND001",2023,3801.63253012048
"CLEWSity","AGRPST001","LND001",2024,3873.36144578313
"CLEWSity","AGRPST001","LND001",2025,3969
"CLEWSity","AGRPST001","LND001",2026,4040.72891566265
"CLEWSity","AGRPST001","LND001",2027,4112.4578313253
"CLEWSity","AGRPST001","LND001",2028,4208.09638554217
"CLEWSity","AGRPST001","LND001",2029,4279.82530120482
"CLEWSity","AGRPST001","LND001",2030,4375.46385542169
